doc_id,replydate,likes
45250,2015-09-08,2
30938,2015-09-08,1
140605,2015-09-08,1
87429,2015-09-08,2
128884,2015-09-08,1
160315,2015-09-08,1
15437,2015-09-08,1
44958,2015-09-08,2
188560,2015-09-08,1
173961,2015-09-08,1
41586,2015-09-08,1
55377,2015-09-08,1
201333,2015-09-08,1
24140,2015-09-07,3
19135,2015-09-07,3
15437,2015-09-07,1
171664,2015-09-07,5
28575,2015-09-07,1
172218,2015-09-07,4
160730,2015-09-07,2
52953,2015-09-07,2
36419,2015-09-07,1
140605,2015-09-07,5
205048,2015-09-07,1
126653,2015-09-07,2
160315,2015-09-07,1
128884,2015-09-07,1
19663,2015-09-07,1
155422,2015-09-07,1
55377,2015-09-07,1
56904,2015-09-07,1
27024,2015-09-07,4
162475,2015-09-07,2
151889,2015-09-07,2
144416,2015-09-07,1
190139,2015-09-07,3
123102,2015-09-07,2
34033,2015-09-07,4
152839,2015-09-07,2
29093,2015-09-07,2
37438,2015-09-07,2
188560,2015-09-07,1
51806,2015-09-07,2
175423,2015-09-07,1
44958,2015-09-07,1
36986,2015-09-07,1
200898,2015-09-06,1
52953,2015-09-06,1
55377,2015-09-06,1
155422,2015-09-06,5
123102,2015-09-06,2
43801,2015-09-06,1
162475,2015-09-06,4
189727,2015-09-06,2
19428,2015-09-06,1
170812,2015-09-06,2
144416,2015-09-06,1
87429,2015-09-06,1
160730,2015-09-06,1
35064,2015-09-06,1
114050,2015-09-06,2
27024,2015-09-06,1
19135,2015-09-06,2
175423,2015-09-06,1
171664,2015-09-06,3
38659,2015-09-06,1
174970,2015-09-06,2
637,2015-09-06,1
37438,2015-09-06,2
190139,2015-09-06,3
206263,2015-09-06,1
16927,2015-09-06,1
172218,2015-09-06,4
140605,2015-09-06,1
132809,2015-09-06,1
9830,2015-09-06,1
24140,2015-09-06,1
162537,2015-09-06,2
192404,2015-09-06,1
9830,2015-09-05,5
189727,2015-09-05,3
201333,2015-09-05,1
203748,2015-09-05,1
174970,2015-09-05,5
123212,2015-09-05,3
8999,2015-09-05,1
155422,2015-09-05,7
94019,2015-09-05,1
17749,2015-09-05,1
128884,2015-09-05,1
175423,2015-09-05,6
48862,2015-09-05,1
51806,2015-09-05,1
30942,2015-09-05,1
18849,2015-09-05,1
140605,2015-09-05,1
172218,2015-09-05,6
118893,2015-09-05,1
205048,2015-09-05,1
73086,2015-09-05,2
55377,2015-09-05,11
160730,2015-09-05,5
114050,2015-09-05,2
171664,2015-09-05,2
162537,2015-09-05,1
144416,2015-09-05,3
162475,2015-09-05,2
201152,2015-09-05,3
37438,2015-09-05,1
160315,2015-09-05,4
31463,2015-09-05,2
43801,2015-09-05,1
55377,2015-09-04,2
123102,2015-09-04,2
192404,2015-09-04,3
73086,2015-09-04,1
175423,2015-09-04,1
172218,2015-09-04,8
420676,2015-09-04,1
171664,2015-09-04,3
41586,2015-09-04,1
51806,2015-09-04,3
140576,2015-09-04,4
162475,2015-09-04,3
